number,house_control,senate_control,congress_control,trifecta_control,start_date,end_date
24,Jacksonian,Jacksonian,Jacksonian,Jacksonian,1835-03-04,1837-03-03
25,Democrat,Democrat,Democrat,Democrat,1837-03-04,1839-03-03
26,Democrat,Democrat,Democrat,Democrat,1839-03-04,1841-03-03
27,Whigs,Whigs,Whigs,,1841-03-04,1843-03-03
28,Democrat,Whigs,,,1843-03-04,1845-03-03
29,Democrat,Democrat,Democrat,Democrat,1845-03-04,1847-03-03
30,Whigs,Democrat,,,1847-03-04,1849-03-03
31,Democrat,Democrat,Democrat,,1849-03-04,1851-03-03
32,Democrat,Democrat,Democrat,,1851-03-04,1853-03-03
33,Democrat,Democrat,Democrat,Democrat,1853-03-04,1855-03-03
34,Opposition,Democrat,,,1855-03-04,1857-03-03
35,Democrat,Democrat,Democrat,Democrat,1857-03-04,1859-03-03
36,Republican,Democrat,,,1859-03-04,1861-03-03
37,Republican,Republican,Republican,Republican,1861-03-04,1863-03-03
38,Republican,Republican,Republican,Republican,1863-03-04,1865-03-03
39,Republican,Republican,Republican,,1865-03-04,1867-03-03
40,Republican,Republican,Republican,,1867-03-04,1869-03-03
41,Republican,Republican,Republican,Republican,1869-03-04,1871-03-03
42,Republican,Republican,Republican,Republican,1871-03-04,1873-03-03
43,Republican,Republican,Republican,Republican,1873-03-04,1875-03-03
44,Democrat,Republican,,,1875-03-04,1877-03-03
45,Democrat,Republican,,,1877-03-04,1879-03-03
46,Democrat,Democrat,Democrat,,1879-03-04,1881-03-03
47,Republican,,,,1881-03-04,1883-03-03
48,Democrat,Republican,,,1883-03-04,1885-03-03
49,Democrat,Republican,,,1885-03-04,1887-03-03
50,Democrat,Republican,,,1887-03-04,1889-03-03
51,Republican,Republican,Republican,Republican,1889-03-04,1891-03-03
52,Democrat,Republican,,,1891-03-04,1893-03-03
53,Democrat,Democrat,Democrat,Democrat,1893-03-04,1895-03-03
54,Republican,Republican,Republican,,1895-03-04,1897-03-03
55,Republican,Republican,Republican,Republican,1897-03-04,1899-03-03
56,Republican,Republican,Republican,Republican,1899-03-04,1901-03-03
57,Republican,Republican,Republican,Republican,1901-03-04,1903-03-03
58,Republican,Republican,Republican,Republican,1903-03-04,1905-03-03
59,Republican,Republican,Republican,Republican,1905-03-04,1907-03-03
60,Republican,Republican,Republican,Republican,1907-03-04,1909-03-03
61,Republican,Republican,Republican,Republican,1909-03-04,1911-03-03
62,Democrat,Republican,,,1911-03-04,1913-03-03
63,Democrat,Democrat,Democrat,Democrat,1913-03-04,1915-03-03
64,Democrat,Democrat,Democrat,Democrat,1915-03-04,1917-03-03
65,Democrat,Democrat,Democrat,Democrat,1917-03-04,1919-03-03
66,Republican,Republican,Republican,,1919-03-04,1921-03-03
67,Republican,Republican,Republican,Republican,1921-03-04,1923-03-03
68,Republican,Republican,Republican,Republican,1923-03-04,1925-03-03
69,Republican,Republican,Republican,Republican,1925-03-04,1927-03-03
70,Republican,Republican,Republican,Republican,1927-03-04,1929-03-03
71,Republican,Republican,Republican,Republican,1929-03-04,1931-03-03
72,Democrat,Republican,,,1931-03-04,1933-03-03
73,Democrat,Democrat,Democrat,Democrat,1933-03-04,1935-01-03
74,Democrat,Democrat,Democrat,Democrat,1935-01-03,1937-01-03
75,Democrat,Democrat,Democrat,Democrat,1937-01-03,1939-01-03
76,Democrat,Democrat,Democrat,Democrat,1939-01-03,1941-01-03
77,Democrat,Democrat,Democrat,Democrat,1941-01-03,1943-01-03
78,Democrat,Democrat,Democrat,Democrat,1943-01-03,1945-01-03
79,Democrat,Democrat,Democrat,Democrat,1945-01-03,1947-01-03
80,Republican,Republican,,,1947-01-03,1949-01-03
81,Democrat,Democrat,Democrat,Democrat,1949-01-03,1951-01-03
82,Democrat,Democrat,Democrat,Democrat,1951-01-03,1953-01-03
83,Republican,Republican,Republican,Republican,1953-01-03,1955-01-03
84,Democrat,Democrat,Democrat,Democrat,1955-01-03,1957-01-03
85,Democrat,Democrat,Democrat,Democrat,1957-01-03,1959-01-03
86,Democrat,Democrat,Democrat,Democrat,1959-01-03,1961-01-03
87,Democrat,Democrat,Democrat,Democrat,1961-01-03,1963-01-03
88,Democrat,Democrat,Democrat,Democrat,1963-01-03,1965-01-03
89,Democrat,Democrat,Democrat,Democrat,1965-01-03,1967-01-03
90,Democrat,Democrat,Democrat,Democrat,1967-01-03,1969-01-03
91,Democrat,Democrat,Democrat,,1969-01-03,1971-01-03
92,Democrat,Democrat,Democrat,,1971-01-03,1973-01-03
93,Democrat,Democrat,Democrat,,1973-01-03,1975-01-03
94,Democrat,Democrat,Democrat,,1975-01-03,1977-01-03
95,Democrat,Democrat,Democrat,Democrat,1977-01-03,1979-01-03
96,Democrat,Democrat,Democrat,Democrat,1979-01-03,1981-01-03
97,Democrat,Republican,Democrat,,1981-01-03,1983-01-03
98,Democrat,Republican,Democrat,,1983-01-03,1985-01-03
99,Democrat,Republican,Democrat,,1985-01-03,1987-01-03
100,Democrat,Democrat,Democrat,,1987-01-03,1989-01-03
101,Democrat,Democrat,Democrat,,1989-01-03,1991-01-03
102,Democrat,Democrat,Democrat,,1991-01-03,1993-01-03
103,Democrat,Democrat,Democrat,Democrat,1993-01-03,1995-01-03
104,Republican,Republican,Republican,,1995-01-03,1997-01-03
105,Republican,Republican,Republican,,1997-01-03,1999-01-03
106,Republican,Republican,Republican,,1999-01-03,2001-01-03
107,Republican,Democrat,,,2001-01-03,2003-01-03
108,Republican,Republican,Republican,Republican,2003-01-03,2005-01-03
109,Republican,Republican,Republican,Republican,2005-01-03,2007-01-03
110,Democrat,Democrat,Democrat,,2007-01-03,2009-01-03
111,Democrat,Democrat,Democrat,Democrat,2009-01-03,2011-01-03
112,Republican,Democrat,,,2011-01-03,2013-01-03
113,Republican,Democrat,,,2013-01-03,2015-01-03
114,Republican,Republican,Republican,,2015-01-03,2017-01-03
115,Republican,Republican,Republican,Republican,2017-01-03,2019-01-03
116,Democrat,Republican,,,2019-01-03,2021-01-03
117,Democrat,Democrat,Democrat,Democrat,2021-01-03,2023-01-03
118,Republican,Democrat,,,2023-01-03,2025-01-03
