year,era,count
1802,Kyōwa,2
1803,Kyōwa,3
1804,Kyōwa,4
1804,Bunka,1
1805,Bunka,2
1806,Bunka,3
1807,Bunka,4
1808,Bunka,5
1809,Bunka,6
1810,Bunka,7
1811,Bunka,8
1812,Bunka,9
1813,Bunka,10
1814,Bunka,11
1815,Bunka,12
1816,Bunka,13
1817,Bunka,14
1818,Bunka,15
1818,Bunsei,1
1819,Bunsei,2
1820,Bunsei,3
1821,Bunsei,4
1822,Bunsei,5
1823,Bunsei,6
1824,Bunsei,7
1825,Bunsei,8
1826,Bunsei,9
1827,Bunsei,10
1828,Bunsei,11
1829,Bunsei,12
1830,Bunsei,13
1830,Tenpō,1
1831,Tenpō,2
1832,Tenpō,3
1833,Tenpō,4
1834,Tenpō,5
1835,Tenpō,6
1836,Tenpō,7
1837,Tenpō,8
1838,Tenpō,9
1839,Tenpō,10
1840,Tenpō,11
1841,Tenpō,12
1842,Tenpō,13
1843,Tenpō,14
1844,Tenpō,15
1844,Kōka,1
1845,Kōka,2
1846,Kōka,3
1847,Kōka,4
1848,Kōka,5
1848,Kaei,1
1849,Kaei,2
1850,Kaei,3
1851,Kaei,4
1852,Kaei,5
1853,Kaei,6
1854,Kaei,7
1854,Ansei,1
1855,Ansei,2
1856,Ansei,3
1857,Ansei,4
1858,Ansei,5
1859,Ansei,6
1860,Ansei,7
1860,Man'en,1
1861,Man'en,2
1861,Bunkyū,1
1862,Bunkyū,2
1863,Bunkyū,3
1864,Bunkyū,4
1864,Genji,1
1865,Genji,2
1865,Keiō,1
1866,Keiō,2
1867,Keiō,3
1868,Keiō,4
1868,Meiji,1
1869,Meiji,2
1870,Meiji,3
1871,Meiji,4
1872,Meiji,5
1873,Meiji,6
1874,Meiji,7
1875,Meiji,8
1876,Meiji,9
1877,Meiji,10
1878,Meiji,11
1879,Meiji,12
1880,Meiji,13
1881,Meiji,14
1882,Meiji,15
1883,Meiji,16
1884,Meiji,17
1885,Meiji,18
1886,Meiji,19
1887,Meiji,20
1888,Meiji,21
1889,Meiji,22
1890,Meiji,23
1891,Meiji,24
1892,Meiji,25
1893,Meiji,26
1894,Meiji,27
1895,Meiji,28
1896,Meiji,29
1897,Meiji,30
1898,Meiji,31
1899,Meiji,32
1900,Meiji,33
1901,Meiji,34
1902,Meiji,35
1903,Meiji,36
1904,Meiji,37
1905,Meiji,38
1906,Meiji,39
1907,Meiji,40
1908,Meiji,41
1909,Meiji,42
1910,Meiji,43
1911,Meiji,44
1912,Meiji,45
1912,Taishō,1
1913,Taishō,2
1914,Taishō,3
1915,Taishō,4
1916,Taishō,5
1917,Taishō,6
1918,Taishō,7
1919,Taishō,8
1920,Taishō,9
1921,Taishō,10
1922,Taishō,11
1923,Taishō,12
1924,Taishō,13
1925,Taishō,14
1926,Taishō,15
1926,Shōwa,1
1927,Shōwa,2
1928,Shōwa,3
1929,Shōwa,4
1930,Shōwa,5
1931,Shōwa,6
1932,Shōwa,7
1933,Shōwa,8
1934,Shōwa,9
1935,Shōwa,10
1936,Shōwa,11
1937,Shōwa,12
1938,Shōwa,13
1939,Shōwa,14
1940,Shōwa,15
1941,Shōwa,16
1942,Shōwa,17
1943,Shōwa,18
1944,Shōwa,19
1945,Shōwa,20
1946,Shōwa,21
1947,Shōwa,22
1948,Shōwa,23
1949,Shōwa,24
1950,Shōwa,25
1951,Shōwa,26
1952,Shōwa,27
1953,Shōwa,28
1954,Shōwa,29
1955,Shōwa,30
1956,Shōwa,31
1957,Shōwa,32
1958,Shōwa,33
1959,Shōwa,34
1960,Shōwa,35
1961,Shōwa,36
1962,Shōwa,37
1963,Shōwa,38
1964,Shōwa,39
1965,Shōwa,40
1966,Shōwa,41
1967,Shōwa,42
1968,Shōwa,43
1969,Shōwa,44
1970,Shōwa,45
1971,Shōwa,46
1972,Shōwa,47
1973,Shōwa,48
1974,Shōwa,49
1975,Shōwa,50
1976,Shōwa,51
1977,Shōwa,52
1978,Shōwa,53
1979,Shōwa,54
1980,Shōwa,55
1981,Shōwa,56
1982,Shōwa,57
1983,Shōwa,58
1984,Shōwa,59
1985,Shōwa,60
1986,Shōwa,61
1987,Shōwa,62
1988,Shōwa,63
1989,Shōwa,64
1989,Heisei,1
1990,Heisei,2
1991,Heisei,3
1992,Heisei,4
1993,Heisei,5
1994,Heisei,6
1995,Heisei,7
1996,Heisei,8
1997,Heisei,9
1998,Heisei,10
1999,Heisei,11
2000,Heisei,12
2001,Heisei,13
2002,Heisei,14
2003,Heisei,15
2004,Heisei,16
2005,Heisei,17
2006,Heisei,18
2007,Heisei,19
2008,Heisei,20
2009,Heisei,21
2010,Heisei,22
2011,Heisei,23
2012,Heisei,24
2013,Heisei,25
2014,Heisei,26
2015,Heisei,27
2016,Heisei,28
2017,Heisei,29
2018,Heisei,30
2019,Heisei,31
2019,Reiwa,1
2020,Reiwa,2
2021,Reiwa,3
2022,Reiwa,4
2023,Reiwa,5
2024,Reiwa,6
2025,Reiwa,7
2026,Reiwa,8
